,target
992482,0
200226,0
718742,0
881629,0
609105,0
867916,0
584547,0
502650,0
36295,0
1229779,0
1105538,0
985185,0
11263,0
272023,0
1079500,0
1036936,0
630431,0
103509,0
888515,0
6398,0
481978,0
60643,0
1052051,0
348237,0
915078,0
1199033,0
171882,0
267382,0
600566,0
1140577,0
88867,0
471448,0
734156,0
513303,0
939944,0
337749,0
1004801,0
1070878,0
826204,0
127304,0
401330,0
461775,0
396018,0
720228,0
843838,0
982753,0
1130251,0
70980,1
905551,0
151296,0
131509,0
671421,0
993877,0
209055,0
227628,0
1030589,0
593183,0
1015329,1
270000,0
294,0
303211,0
1042415,0
927648,0
661750,1
1104927,1
905310,0
1022966,0
1045158,0
410510,0
1053022,0
973678,0
1182162,0
657295,0
655813,0
757623,1
961285,0
1257748,0
1096370,0
556042,0
641843,0
992099,0
1269076,0
104594,0
375179,0
814027,0
1211307,0
1267,0
633744,0
633073,0
571785,0
640359,0
974018,0
449186,0
1051387,0
1166373,0
1111293,0
1274703,1
428046,0
1305950,0
1023340,0
1013599,0
526527,0
194687,0
188185,1
1153329,0
1188902,0
1239736,0
598155,0
1094738,0
696678,0
688849,0
328104,0
400108,0
57830,0
854203,0
865038,0
133000,0
23860,0
457964,0
901362,0
1190626,0
602585,0
48638,0
669427,0
931524,0
726521,0
1179860,0
651165,0
809792,0
452166,0
542688,0
683762,1
582124,0
396097,0
1224647,1
270488,0
590593,0
361595,0
1033567,0
1277860,0
1149509,0
27700,0
928172,0
862443,0
498272,0
165957,0
972694,0
522916,0
627800,0
659173,0
661314,0
980658,0
906006,0
497535,0
250215,0
849854,0
1165959,0
79441,0
92088,0
6377,0
163414,0
1298742,0
358032,0
235933,0
808882,0
506106,0
404657,1
1209935,0
1147897,0
151767,0
309603,0
626745,0
353132,0
824183,0
15906,1
961354,0
639798,0
558919,0
532474,0
1039194,0
87790,0
1264043,0
1234794,0
781646,0
919422,0
1253514,0
360676,0
943087,0
48177,0
1245832,0
541594,0
151139,0
1100878,0
1131842,0
902005,0
525545,0
1279488,1
574386,0
676450,0
1021812,0
137503,0
359682,0
511751,0
1255844,0
1248442,0
1087468,0
847887,0
754284,0
343578,0
915673,0
1188711,0
1269684,0
1151039,0
277463,0
504909,0
407369,0
649194,0
213553,0
66190,0
874757,0
637971,0
269826,0
490483,0
826620,0
644,0
696774,0
359621,0
895531,0
582884,0
611950,0
1233394,0
758890,0
702823,0
529507,0
677790,0
906956,0
913025,0
582422,0
742868,0
323862,0
937830,0
158701,0
273915,1
963673,0
412183,0
1058352,0
9067,0
121863,0
713180,0
515167,0
45953,0
172371,0
660771,0
137578,0
50165,0
550520,0
1208762,0
556578,1
801991,0
259604,0
105974,0
1006154,0
640437,0
684941,0
106993,0
346661,0
658681,0
601478,0
619415,0
124085,0
709850,0
39116,0
176344,0
83452,0
733675,0
1197688,0
49265,0
358463,0
394391,0
230191,0
358574,0
524114,0
711112,0
1042818,0
129828,0
262983,0
700746,0
92344,0
73810,0
1248897,0
184501,0
837273,0
858581,1
71263,0
106683,0
984796,0
593823,1
38475,0
775692,0
479296,0
1025670,1
728309,0
892061,0
751898,0
1035097,0
479537,0
608937,0
590474,1
622645,0
908931,0
862216,0
429581,0
997212,0
663638,0
65851,0
1273520,0
